ID,Number_Tweets,Number_Followers,Type
909911057589665792,51,62,Layman
2443070556,4426,4571,Layman
2242536402,2068,858,Expert
147874555,2012,281,Expert
942772717534801920,143,1058,Layman
930848858,93,470,Expert
313680714,3576,3464,Layman
976961098166480899,84,6,Layman
844171340,132,328,Expert
3552010348,142,19,Layman
68891118,304,87,Layman
61744052,1913,422,Expert
99110314,3007,4577,Layman
452828175,4099,1971,Layman
1312696826,47,144,Expert
1018557469780578304,39,155,Expert
609907253,5310,2861,Layman
961284831635300357,245,199,Expert
352526667,2748,436,Expert
784902962590126080,69,81,Layman
265106132,75,70,Layman
223225394,2926,398,Expert
2745459493,59,148,Expert
364982239,328,1076,Layman
867560847459184640,610,2818,Layman
224197125,828,277,Expert
1496604769,1650,181,Expert
364615460,195,2807,Layman
80802614,628,45,Layman
701094913967005696,3030,1492,Layman
235696960,3531,1993,Layman
969061747100274689,11,10,Layman
2695792878,3,8,Layman
14114414,5627,539,Expert
3232874318,0,72,Layman
969771565985554433,40,83,Layman
259362652,11219,13039,Layman
791617959760322560,829,310,Expert
439639140,11142,655,Expert
2713040959,4904,81,Layman
966902460726915072,6,16,Layman
720985407605862401,1832,387,Expert
957436874666201088,235,304,Expert
845398760360357889,330,225,Expert
707714928,114,78,Layman
18829376,8582,732,Expert
13526822,8437,1312,Layman
769000210265698305,0,0,Layman
27793819,1066,184,Expert
59770737,7631,654,Expert
903686634604040192,284,151,Expert
458962565,23011,14237,Layman
1041764119,776,422,Expert
234928594,720,631,Expert
289951747,1401,1019,Layman
84653850,90580,81130,Layman
427699416,3298,2140,Layman
408131794,3177,556,Expert
166338025,1267,241,Expert
918530023245664261,151,285,Expert
242522899,857,203,Expert
370474938,418,91,Layman
46418313,3852,206,Expert
254752429,10766,1238,Layman
47718880,1989,1051,Layman
4196481215,4585,532,Expert
102432474,491,782,Expert
3246792784,1158,1120,Layman
3214181795,10207,3811,Layman
892790857048489984,312,104,Expert
828862479396642817,1,20,Layman
816426170493366276,1679,238,Expert
3681168136,6713,1829,Layman
2192651251,1141,153,Expert
4267929196,72,105,Expert
481672499,11884,2433,Layman
46261430,17296,2833,Layman
98490748,10273,14605,Layman
848244367034904585,31,0,Layman
710077981813825537,6,16,Layman
566889631,1610,267,Expert
164546388,8,60,Layman
75118960,8069,1381,Layman
803671726215360513,526,345,Expert
2770276477,2107,39,Layman
1648650871,334,79,Layman
3321939708,53,90,Layman
3365960592,4295,4526,Layman
2870016825,136,117,Expert
15782087,2447,3763,Layman
2354486829,9465,412,Expert
19596053,2702,513,Expert
1290245184,163,35,Layman
3206943477,27370,389,Expert
790636114260307968,351,360,Expert
2373224725,66,40,Layman
788467373934309381,618,411,Expert
256325258,385,11,Layman
3161246856,65,28,Layman
458692188,963,90,Layman
54280376,1881,1930,Layman
3462304039,4775,290,Expert
2834461779,186,298,Expert
20830220,1403,1825,Layman
151900128,1291,740,Expert
426364268,1104,511,Expert
866681611,19176,708,Expert
1515251383,291,399,Expert
858340297,26,5,Layman
762798888189169664,812,805,Expert
87112954,65,24,Layman
762522566208532480,0,3,Layman
758733660065456131,0,11,Layman
1096834196,3484,2912,Layman
167867852,1288,1160,Layman
94346957,622,491,Expert
4921547105,3,9,Layman
753248135997194240,115,62,Layman
3342240045,0,7,Layman
182776102,2256,2180,Layman
263479789,1240,362,Expert
729046271051202560,2549,183,Expert
4786807754,9,18,Layman
18273988,11,496,Expert
3129927357,84,348,Expert
736200843989557248,362,281,Expert
4475525654,1,3,Layman
1967312552,458,425,Expert
2778723674,0,5,Layman
19405351,7869,5224,Layman
594157455,3761,730,Expert
4871448701,380,416,Expert
2955659069,1493,198,Expert
2731022486,297,150,Expert
703330396403007489,1,8,Layman
2612797260,816,212,Expert
3150600104,4451,568,Expert
42494684,371,310,Expert
2291384989,2861,477,Expert
3297833260,841,724,Expert
23447063,1512,1156,Layman
11353142,211,38,Layman
1151420900,1886,1588,Layman
108316522,2536,444,Expert
3735747258,6,10,Layman
42955564,1565,1319,Layman
25398973,928,618,Expert
5146581,124,42,Layman
1979372431,42,142,Expert
29128285,239,210,Expert
3406193625,62,1659,Layman
3319333686,7,54,Layman
174055060,103460,506,Expert
17650690,1249,478,Expert
2932897695,72,68,Layman
2239852081,444,314,Expert
1468214634,24,37,Layman
25158240,770,145,Expert
1360356614,7761,2541,Layman
2715268627,9680,1878,Layman
185285111,5503,2243,Layman
2371334376,3738,200,Expert
1944834290,1,77,Layman
1704646470,81295,25852,Layman
3192411776,1148,733,Expert
103956704,4427,1525,Layman
3034908524,16,31,Layman
179274430,2855,1390,Layman
786257126,3638,276,Expert
184365715,589,220,Expert
2888393596,550,1272,Layman
1558597950,192,50,Layman
3038216124,3629,1513,Layman
1022371699,778,540,Expert
2332084886,213,206,Expert
56245303,1574,1087,Layman
467536020,6638,686,Expert
353511354,90,95,Layman
1064533471,12573,719,Expert
2997261583,859,412,Expert
1250554160,54,72,Layman
1480705621,353,85,Layman
360176378,3477,249,Expert
2919729900,6,0,Layman
2511462254,18,7,Layman
2895964728,5,4,Layman
205397000,2759,2146,Layman
597120305,690,59,Layman
1299857222,2264,330,Expert
82216564,580,568,Expert
339987214,293,25,Layman
2853572967,17,22,Layman
15057383,2488,275,Expert
348846669,10709,1930,Layman
551138610,1386,903,Expert
1670688470,269,29,Layman
163573512,930,2110,Layman
2567756700,64,308,Expert
46721704,1689,683,Expert
386115930,79,63,Layman
432662240,9928,2498,Layman
2285368813,526,239,Expert
277072979,779,984,Expert
158994904,77,191,Expert
2165983896,1079,597,Expert
46422258,4292,1906,Layman
267400627,9679,1119,Layman
28842145,11,28,Layman
777485077,689,144,Expert
377177381,39,166,Expert
1601592757,1026,603,Expert
1705521072,1030,19,Layman
2798656039,223,146,Expert
368681101,9403,1963,Layman
2419705380,1989,3706,Layman
17815224,11589,37752,Layman
14426806,626,3505,Layman
382468372,7649,1075,Layman
25333387,624,580,Expert
45654015,793,491,Expert
1906707259,35,72,Layman
2647189844,16,57,Layman
2793044058,21,117,Expert
2788462441,3,46,Layman
2788494738,23,7,Layman
2734848864,1073,618,Expert
34633479,10601,36956,Layman
2352355284,197,59,Layman
29746928,27795,435,Expert
7961002,2061,772,Expert
22857061,126,182,Expert
2695008333,2155,337,Expert
2250261,238,1590,Layman
2542114879,2,3,Layman
555588295,1645,180,Expert
1128945624,8362,3134,Layman
78950273,3377,164,Expert
2391653094,117,19188,Layman
1667860657,5655,2424,Layman
322673854,101,7,Layman
18256748,306,3061,Layman
28116356,121,384,Expert
35866587,5963,2332,Layman
700189184,17094,1422,Layman
129785606,4410,2222,Layman
151167947,1828,792,Expert
