Follower ID,Number_Tweets,Number_Followers,Type
356261120,5121,3435,Celebrity
878991039868043265,45,16,Layman
784220421872685056,1665,593,Expert
926098930932297730,517,127,Expert
1954980811,498,382,Expert
909911057589665792,51,62,Layman
2443070556,4428,4575,Celebrity
2242536402,2072,859,Expert
147874555,2016,281,Expert
942772717534801920,143,1059,Celebrity
930848858,94,471,Expert
313680714,3578,3465,Celebrity
976961098166480899,84,6,Layman
844171340,133,328,Expert
3552010348,142,20,Layman
68891118,304,87,Layman
61744052,1913,424,Expert
99110314,3013,4580,Celebrity
452828175,4105,1972,Celebrity
1312696826,47,144,Expert
1018557469780578304,39,156,Expert
609907253,5314,2860,Celebrity
961284831635300357,245,199,Expert
352526667,2749,435,Expert
784902962590126080,69,81,Layman
265106132,75,70,Layman
223225394,2928,398,Expert
2745459493,59,148,Expert
364982239,329,1076,Celebrity
867560847459184640,612,2816,Celebrity
224197125,828,275,Expert
1496604769,1650,181,Expert
364615460,196,2806,Celebrity
80802614,628,45,Layman
701094913967005696,3031,1494,Celebrity
235696960,3531,1994,Celebrity
969061747100274689,11,10,Layman
2695792878,3,8,Layman
14114414,5627,539,Expert
3232874318,0,72,Layman
969771565985554433,40,83,Layman
259362652,11220,13035,Celebrity
791617959760322560,829,310,Expert
439639140,11146,656,Expert
2713040959,4904,81,Layman
966902460726915072,6,16,Layman
720985407605862401,1833,388,Expert
957436874666201088,235,303,Expert
845398760360357889,330,226,Expert
707714928,113,78,Layman
18829376,8582,731,Expert
13526822,8437,1312,Celebrity
769000210265698305,0,0,Layman
27793819,1072,184,Expert
59770737,7635,655,Expert
903686634604040192,284,151,Expert
458962565,23030,14241,Celebrity
1041764119,776,422,Expert
234928594,723,632,Expert
289951747,1402,1020,Celebrity
84653850,90609,81132,Celebrity
427699416,3301,2142,Celebrity
408131794,3177,556,Expert
166338025,1267,241,Expert
918530023245664261,151,285,Expert
242522899,857,203,Expert
370474938,418,91,Layman
46418313,3855,206,Expert
254752429,10772,1235,Celebrity
47718880,1989,1052,Celebrity
4196481215,4586,533,Expert
102432474,494,781,Expert
3246792784,1158,1120,Celebrity
3214181795,10209,3810,Celebrity
892790857048489984,312,104,Expert
828862479396642817,1,20,Layman
816426170493366276,1683,237,Expert
3681168136,6722,1837,Celebrity
2192651251,1143,153,Expert
4267929196,72,105,Expert
481672499,11888,2437,Celebrity
46261430,17297,2832,Celebrity
98490748,10283,14608,Celebrity
848244367034904585,31,0,Layman
710077981813825537,6,16,Layman
566889631,1610,266,Expert
164546388,8,60,Layman
75118960,8069,1381,Celebrity
803671726215360513,526,345,Expert
2770276477,2107,39,Layman
1648650871,334,79,Layman
3321939708,53,90,Layman
3365960592,4301,4528,Celebrity
2870016825,136,117,Expert
15782087,2448,3764,Celebrity
